Flex1,Flex2,Flex3,Flex4,Flex5,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Gesture
919,856,935,1022,729,-4.18,-8.25,-9.54,-0.01,-0.01,-0.00,yes
918,854,934,1023,731,-4.41,-8.22,-9.83,0.01,-0.02,-0.01,yes
917,853,935,1023,731,-3.77,-8.22,-8.65,0.27,-0.04,-0.12,yes
915,853,934,1023,743,-2.07,-8.17,-9.33,-0.07,0.22,-0.30,yes
916,852,939,1023,737,-5.34,-8.25,-8.64,0.02,-0.10,0.01,yes
915,854,936,1023,744,-4.87,-8.17,-8.89,-0.05,0.25,-0.19,yes
914,855,936,1023,742,-3.91,-8.14,-9.29,-0.08,0.25,-0.22,yes
913,854,935,1023,739,-5.53,-8.30,-8.80,0.00,-0.02,-0.04,yes
913,850,936,1023,740,-5.59,-8.06,-7.91,0.00,0.02,-0.01,yes
913,851,936,1023,737,-4.50,-8.19,-9.39,-0.03,0.36,-0.22,yes
915,855,856,1023,746,-3.93,-8.48,-9.27,0.11,0.02,-0.01,no
904,852,855,1023,739,-3.92,-8.25,-7.78,0.02,-0.03,0.04,no
904,853,854,1023,786,-3.38,-8.31,-9.20,-0.06,0.01,-0.10,no
910,852,855,1023,795,-5.03,-8.14,-8.46,0.04,-0.10,0.04,no
904,848,855,1023,743,-4.81,-8.11,-8.49,-0.13,0.25,-0.25,no
904,850,856,1023,749,-3.13,-8.23,-8.74,-0.01,-0.01,0.00,no
903,850,856,1023,743,-1.94,-8.08,-8.98,-0.04,-0.00,0.02,no
902,850,856,1023,739,-6.01,-8.02,-7.81,0.09,-0.17,0.17,no
899,850,856,1023,786,-3.59,-8.28,-8.79,0.02,-0.01,0.01,no
899,847,856,1023,790,-2.54,-8.18,-8.85,-0.00,-0.01,0.00,no
900,847,856,1023,743,-4.73,-8.05,-8.09,0.18,-0.11,-0.16,no
899,849,854,1023,790,-2.16,-8.21,-9.72,0.00,-0.05,0.00,no
897,849,856,1023,790,-5.15,-8.22,-9.30,-0.02,-0.00,-0.02,no
896,850,855,1023,794,-1.65,-8.07,-9.89,0.03,-0.13,-0.18,no
895,852,856,1023,782,-4.24,-8.27,-9.72,0.06,0.12,-0.00,no
894,850,856,1023,794,-3.85,-8.19,-9.82,0.01,-0.05,-0.04,no
893,847,857,1023,791,-2.23,-8.00,-10.41,0.01,-0.00,0.01,no
894,847,858,1023,787,-1.45,-8.14,-9.99,-0.09,-0.01,0.42,no
893,849,860,1023,735,-3.63,-8.30,-10.30,0.09,-0.12,-0.05,no
826,824,873,1023,735,4.64,-3.42,-8.38,0.09,0.07,-0.02,no
827,825,875,1023,733,4.71,-3.19,-8.28,0.00,-0.03,-0.01,we are caffinated coders
827,825,877,1023,730,4.62,-2.79,-8.18,-0.03,-0.08,0.01,we are caffinated coders
828,828,879,1023,729,4.39,-2.83,-8.72,-0.13,0.02,-0.02,we are caffinated coders
828,831,886,1023,807,4.86,-2.74,-8.63,-0.01,-0.05,-0.02,we are caffinated coders
832,826,883,1023,789,4.91,-3.03,-9.06,-0.10,-0.01,0.04,we are caffinated coders
